feature,importance
hip_right_mean,0.09995281053615536
hip_left_mean,0.08373250308772079
knee_right_mean,0.06996361919530646
hip_left_std,0.06932497916075624
hip_right_std,0.06809749307786772
knee_left_mean,0.05599650006988766
knee_right_std,0.0552212437141115
inclination_std,0.050460759982794874
inclination_mean,0.03970700573105442
vel_left_hip_mean,0.03787123770422747
knee_left_std,0.037859685388645564
vel_right_hip_mean,0.03545663692463242
vel_left_wrist_p90,0.0217598195628646
vel_head_mean,0.02116607882145344
vel_left_wrist_mean,0.021126860577984272
vel_right_hip_p90,0.0210699916601296
vel_head_p90,0.020599956220672674
vel_left_hip_p90,0.02039652517728055
vel_right_wrist_p90,0.019711395165505866
vel_right_wrist_mean,0.018861599989179762
