feature,importance
disp_left_knee_dy,0.05949952453374863
region_move_head,0.047322340309619904
trend_left_knee_vy,0.04675346985459328
disp_left_knee_mag,0.038605157285928726
shoulder_width_min_ratio,0.03752085193991661
vel_left_knee_p90,0.029922926798462868
trend_right_knee_vx,0.028318213298916817
knee_left_mean,0.027092110365629196
trend_right_hip_vy,0.025915415957570076
disp_right_knee_mag,0.024835195392370224
disp_left_wrist_dy,0.023324202746152878
yaw_vel_mean,0.02279045432806015
hip_right_std,0.022368300706148148
vis_head_mean,0.01932935230433941
trend_head_vy,0.0182892307639122
vel_left_wrist_p90,0.01809985563158989
shoulder_width_min,0.01768662966787815
hip_left_mean,0.016733428463339806
trend_left_ankle_vy,0.015772102400660515
vel_right_hip_p90,0.015405225567519665
