feature,importance
disp_left_knee_dy,0.04196894789307002
hip_angle_l_mean,0.038822613370513896
hip_left_mean,0.03872861626444031
trend_left_knee_vy,0.03681762557297058
hip_angle_r_mean,0.03313291077505303
hip_left_std,0.0304124088043183
hip_right_mean,0.025364988020200475
trend_left_wrist_vy,0.02337994300789226
hip_right_std,0.023339560855470457
disp_head_dy,0.02035005294869743
shoulder_width_min_ratio,0.019130106700860204
disp_left_knee_mag,0.0179228560115272
disp_right_knee_dy,0.01777768573402996
knee_left_std,0.017156744634372972
knee_right_mean,0.017103274653798566
knee_angle_r_mean,0.016882838015336573
disp_left_ankle_dy,0.01571894897392127
knee_angle_l_mean,0.015424268071990684
vis_knees_min,0.015191931077179355
disp_left_wrist_dy,0.014826835762670295
